id,Mobile_Companny,Mobile_Name,Whats_new,Chip,Colors,Cpu,Dimensions,Gpu,Resolution,Size,Weight,price_in_pkr,price_in_usd,rating,OS,imagepath1,imagepath2,battery,backcam
211,QMobile,Qmobile_Noir-X29,"QMobile Noir X29 - Perfect Treat For Young Generation!
QMobile evolve and Noir X29 is out of box to represent the new face of Pakistani brand. Modernized design with stunning compact body looks quite beautiful while carrying the QMobile Noir X29 in palm of your hands. Some people are criticizing this brand but still there is a lot of good things that makes it the top selling mobile phone company in Pakistan. QMobile X29 has the perfect harmony between the software and the hardware and both departments are producing at their full capacity. One good thing about QMobile's Noir X29 is that it cost effective device and the given cost is perfect for the given specifications of the device. After the detailed introduction now it is time to look inside the QMobile Noir that what else we will get in the package. 4 inch display size is quite attractive size in market and people love the device with such type of display size. QMobile Noir X29's display is using the IPS technology which is power saving display and it can reduce the energy consumption of the device and keep your active for longer time. QMobile Noir X series is quite popular among the young generation because they want to get Noired with the QMobiled spirit of the device. If you are new use on android then Noir's X29 is really a great choice for peoples like you. After its fine display now it is time to take a look below the display where it is using Mediatek chipset. QMobiles Noir X29 is running with quad core processor where the clock speed is 1.2 GHz. To handle the naughty games and applications 512 GB of RAM is used by the Q Mobiles Noir X29 and it make sure that everything works properly.",NULL,"Black, Siver, Grey, White",1.2 Ghz Dual Core,121.2 x 61.5 x 8.6mm,NULL,NULL,4,108,4850,47,3.5,Android v6.0 Marshmallow,,,Long Lasting battery,"2 MP, autofocus, LED flash"
210,QMobile,Qmobile_Noir-W20,"QMobile Noir W20 - Compact yet Powerful!
QMobile has launched Noir W20. This is a very powerful phone in the history of Pakistani low end smartphones, with luxurious looks and fast Quad Core processor, experience the enhanced speed of QMobile Noir W20  and now you can multi-task very easily. This phone is not only powerful but it also has amazing features and suppressing looks so competitors should stay away for good .QMobile W20 has IPS screen with 4 Inch Noired LCD display which gives enhanced display output with sharp picture quality and provides you the best quality result from all angles.QMobile's Noir W20 has enough built-in storage to hold the required data for you with expandable memory up to 32 GB. With 2 Mega Pixel front camera you can take selfie of very fine quality. QMobile Noir W20's rare camera with led flash light, now you can capture capture every moment of your life without facing the bad light conditions.  Noir's W20 also has a Duel SIM which will give you QMobiled multi networks at same time with lighting fast 3G. Quad Core 1.3 GHz processor is running inside the Media Tek chip which provides speed to QMobile Noir W series to do multitasking and quality display of graphics to its user. This is running on latest android operating system v 5.1 Lollipop UI.Q Mobiles Noir W20 also has very brilliant and capacities touch screen which will take you on another level of experience. With all these latest features Wi-Fi and Hotspot is also added to this phone with full support. QMobile Noir also has Bluetooth to keep you connected. it also has FM Radio which will fill your boring life with sheer enjoyment. Talking about the sensors, QMobiles Noir W20 is equipped with Accelerometer, proximity, light and few others.",NULL,Various,1.3 GHZ Quad-Core,N/a,NULL,NULL,4,0,4999,48,4,Android V5.1 (Lollipop),,,Long lasting Battery,"2 MP, autofocus, LED Flash"
209,QMobile,Qmobile_Noir-W15,"QMobile Noir W15 - Be Amazed! 
QMobile releases new Noir W15 smartphone to facilitate all of its users with a powerful smartphone that doesn't compromises on its looks. The amazingly sharp 4.0 inch IPS display makes the new QMobile Noir W15 the perfect smartphone for its esteemed users as it is not just sharper but provides perfect viewing experience from every angle. spacious 8GB ROM gives plenty of space to the QMobile Noir W15's users but if required, microSD slot can be added to increase the memory up-to 128GB. Allowing the demanding users to take plenty of selfies with brilliant front camera, the QMobile Noir W smartphone series is ideal for students; amazing main camera resides on the exact back with LED flash light to provide sharp images regardless of bad light conditions. QMobile's Noir W15 phone is a powerful android tool as it comes with Quad-core processor running inside the MediaTek chipset to provide users with amazing multitasking and smooth rendering of graphics on the awesome QMobile W15 smartphone. Amazing Noired Video shooting can be done with both camera's of the phone as both support high definition video recording up-to 720P. XX00mAh battery runs the powerful QMobile Noir for 18 hours on average but provides standby time of up-to 4 days. connectivity suite consists of 4.0 Bluetooth module, Wi-Fi with full support and microUSB 2.0 port and Noir's W15 phone also comes with QMobiled FM radio module for entertainment purpose. Latest Android OS runs on the Amigo UI interface for smoother android experience and offers value added apps to QMobiles Noir W15 users. The phone is available in three color variants and comes with 12 months warranty from Digicom so that you can enjoy your Q Mobiles Noir W15 smartphone without any worries.",NULL,Gold,1.3 GHZ Quad-Core,N/a,NULL,NULL,4,0,5050,48,4,Android V5.0 (Lollipo),,,Powerful Battery,"2 MP, autofocus, LED Flash"
208,QMobile,Qmobile_Noir-X33,"QMobile Noir X33 - Make Everything Happening! 
QMobile send forth Noir X33 with this hope that their users will enjoy the best moments of their lives with this amazing and affordable device. In such a short time they launched QMobile Noir X33 which mean that company is fully functional and looking forward to keep their share in smartphone market. Now this time they have introduced mid-range device QMobile's Noir X33 which make you feel that after such long time still they have diversity in their products and every time they launch a gadget it is different from previous one. QMobile Noir X33's 4.0 inch LCD is quite vibrant due to brighter 16M colors while the resolution is also better that gives you HD resolution with more sharp pixel. Not only that QMobile X33 is equipped with latest IPS technology where on top of that capacitive touchscreen is embedded that make things look better while watching movies or viewing pictures. QMobile Noir X series has Noired everyone due to its durability while design is also quite attractive. After its front panel now it time to move towards its engine of powerful QMobile Noir which is 1.2 GHz quad-core processor accompanied with 1 GB of RAM while 8 GB internal storage is filled with QMobiled spirit and ready to accommodate all kind of data. Noir's X33 has packed the best pair of eyes where main eye is fixed on the back side which is 2 MP while on front VGA sensor is installed which is capable to take best selfies. QMobiles Noir X33 has packed dual SIM slots where both of them support 3G for non-stop live streaming of videos over active data connection. Metallic gold and grey colors suits on Q Mobiles Noir X33 perfectly.",NULL,"Metallic gold, Grey",1.2 Ghz Quad Core,N/a,NULL,NULL,4,0,5400,52,0,Android v6.0 Marshmallow,,,Long Lasting Battery,"2 MP, LED Flash, auto-focus"
207,QMobile,Qmobile_Noir-X32,"QMobile Noir X32 x96 Budget Smart, redefined
QMobile unveils powerful  Noir X32 smartphone for its users in Pakistan which is built for fast performance and amazing display so that the users can enjoy best of both in their budget. QMobile Noir X32 comes packed with FWVGA 4.0 inch powerful display that brings every detail to life and multitouch allows user to play 3D games easily. QMobile Noir X32x92s fast performance Quad-core powered MediaTek chipset is built specially to prevent overheating of the phone without compromising on the performance. The amazing QMobile Noir X32 smartphone packs a punch with its 5MP rear mounted camera that comes with fast LED flash so that the users can capture moments on the go without encountering any problems. QMobilex92s Noir X32 smartphone also has a front facing smart camera that provides great video calling experience to the user. The amazing smartphone comes with 8GB internal storage capacity for its Noired users but if required, QMobile X32 can expand memory upt- 64GB via external card slot. The amazing 1.3GHz Quad-core processor runs all the android Amigo UI interface smoothly and since it is built on Marshmallow OS it provides QMobiled Multitasking experience to users of Noirx92s X32 smartphone. Built with new Bluetooth module that provides faster data transfer to the user and amazing Wi-Fi module that can be turned into Wi-Fi Hotspot anywhere, the amazingly powerful QMobile Noir smartphone takes connectivity to the next level for its users. 3G support allows the user to connect with loved ones on the go and provides fast downloading speed for movie streaming. QMobiles Noir X32 is released in the market with 12 months digicom warranty and it is available in three amazing color variants so that the user can choose the best looking Q Mobiles Noir X32 smartphone according to their choice",NULL,Black,1.3 GHZ Quad-Core,65.5 x 128 x 11 mm,NULL,480 x 800 pixels,4,110,5500,53,4.1,"Android OS, 6.0 (Marshmallow)",,,1300 mAh,"5 MP, autofocus, LED Flash"
206,QMobile,Qmobile_Noir-X32-Power,"QMobile Noir X32 Power - More Power More Fun! 
QMobile brings you Noir X32 Power with many productive qualities that will keep you comfortable while using your smartphone for daily use. Now you will get the better display because of QMobile Noir X32's colorful touchscreen which is based on one cell tech. 4 inch IPS display is perfect for processing of true colors where resolution of display is 720 x 1280 that makes QMobile Noir X32 Power best for games and casual use. 2500 mAh battery is fitted inside the belly of beast that keeps it active for more then one day on single charge. QMobile Noir X series has all the essential function which an ordinary user need in its smartphone. This is the main reason behind the popularity of this series. QMobile's Noir X32 Power is equipped with 1.2 GHz quad-core processor that maintain all processing without slowing down the  whole system. 1GB of RAM is installed inside the belly of  QMobile Noir which is serving as the right hand of main processor and it is hired to handle the multi-tasking department of such powerful device. 8 GB internal storage of QMobile X32 power is filled with QMobiled spirit and that can easily accommodate anything inside its spacious memory. Android OS v6.0 marshmallow is running out of box that maintain everything in order. Noir's X32 Power has Noired the user experience by changing the inner look of phone by modifying the basic look user interface to amazing new look. 5 MP camera of QMobiles Noir X32 Power has best sensor that take sharp images while LED flashlight is making images brighter in low light conditions. Smart selfies camera is attached to front side of Q Mobiles Noir X32 Power that takes perfect selfies finished in such a way that you can directly upload them on social websites without further editing.",NULL,Black,1.2 GHZ Quad-Core,N/a,NULL,NULL,4,0,5999,58,3,Android OS V6.0 (Marshmallow),,,2500 mAh,"5 MP, LED Flash"
205,QMobile,Qmobile_Bolt-T360,"QMobile Bolt T360 - KitKat OS for Macho performance!
QMobile presents great Bolt T360 mobile smartphone. A phone meant and destined for greatness as it comes with all the amazing features an Android phone is suppose to have. starting from screen, Qmobile Bolt T360 embeds the 5.0 inch IPS display that is designed for wide angle viewing and is powered by Adreno performance GPU making the details sharper than ever. QMobile Bolt T360's design is based on curves and the company has made sure that user gets the premium feel while holding the great phone. To provide users with great value added features, QMobile Bolt T smartphone comes with Android Kitkat out of the box which runs on special UI for smooth performance and better ROM management with its 1GB RAM. The amazingly powerful QMobile's Bolt T360 embeds the great Quad-Core performance processor inside the chipset that makes the phone handle heavy applications easily and perform multitasking without any lags. Qmobile T360 has a bolted camera setup that includes 5MP snapper on the rear with Panorama and HDR function and on front is the standard wide angle camera for enhanced selfies. The amazing Qmobile Bolt takes care of the communication with the help of Dual SIM slots but to provide users with connection to the virtual world, the phone comes with fast 3G support and amazing Wi-Fi module that takes Bolt's T360 experience to the QMobiled Level. Bluetooth 4.0 with A2DP support allows wireless music playback on Bluetooth enabled devices and the great FM Radio provides 24/7 entertainment on the go. QMobiles Bolt T360 comes with long lasting battery that provides users with 13 hours of talktime and 15 hours of music playback. To take care of the users, the new Q Mobiles Bolt T360 comes with 12 months after sales warranty and 24/7 customer support.",NULL,Black,1.2 GHz Quad-core processor,N/a,NULL,NULL,4,0,6500,62,4,Android OS V4.4 (KitKat),,,Long Lasting Battery,"5 MP, Autofocus, LED Flash"
204,QMobile,Qmobile_Noir-i2-Pro,"QMobile Noir i2 Pro - Beginning Of New Era! 
QMobile is offering Noir i2 Pro to impress its older users and seduce them to buy this new phone which has packed the modest design and impressive technology along with many impressive colors. QMobile Noir i2 Pro is using quite innovative tech and software that introduced a user friendly navigation system and it also provided direct access to many function through just one click. QMobile Noir is taking the services of 4.5 inches IPS touch screen technology to improve the display of the device. Multi-touch support and 16M colors are also added to QMobile Noir i2's display that make the display so vivid that you start to feel that everything is real and alive around you. After this next comes the engine or the power station of QMobile's Noir i2 Pro which is quad core processor that perform at speed of 1.3 GHz. It is impossible that a phone run without a RAM that's why this phone has packed 1 GB of RAM. QMobile Noir i series is quite renowned these days for its efficiency and better performance but they did improve it more and now you will the 8 GB of internal storage in QMobile i2 pro. You will feel more Noired after meeting with Android OS, v5.1 (Lollipop) which is totally filled with total QMobiled spirit and so ambitious to provide you better system settings view and improved UI. Noir's i2 Pro is equipped with1800 mAh battery that provides you impressive time on the normal daily use. 3G activated dual SIM slots will provide you better connectivity on QMobiles Noir i2 Pro where 5 MP camera is sitting on the back side of the device that has added the more stylish look to the gadget while smart camera on the front is expert in capturing selfies that makes feel proud to Q Mobiles Noir i2 Pro.",NULL,Various,1.3 GHz Quad-Core,N/a,NULL,"720 x 1280 pixelsSensors: Proximity, Accelerometer, light",4.5,0,6500,62,4,Android OS V5.0 (Lollipop),,,1800 mAh,"5 MP, Auto Focus, LED Flash, Geo-tagging, touch focus, face/smile detection, panorama, HDR, Video 1080p@30fps, 2ndry VGA"
203,QMobile,Qmobile_Noir-W50,"QMobile Noir W50 - Smart Performance in Elegant Design 
QMobile introduces fast Noir W50 as the phone features a great 1.2GHz Quad-core processor which is embedded in the power efficient latest chipset to provide a durable and top notch performance. QMobile Noir W50 is built in a polycarbonate shell that holds its 4.5 inch IPS display screen with thin bezels so that users can have a better viewing experience on every angle. QMobile Noir W50's camera duo is a great 5MP back unit with Auto-focus, HDR, Panorama feature with a great LED flash unit and its front snapper is ultra powerful 0.3MP unit with wide angle lens to provide QMobile Noir W with better selfies and greater video calling. To provide users with video calling on the go, 3G connectivity across all local bands is provided in the new QMobile's Noir W50. With great 8GB internal memory, the phone can house 8GB user data which can be further increased up-to 32GB via microSD card support. To provide users with better connectivity, QMobile W50 comes with Noired Bluetooth module that transfers data at a much higher rate of speed; a standard Wi-Fi radio is embedded alongside fast microUSB 2.0 port for productivity of QMobile Noir users. A powerful 1750mAh battery housed on smart handheld to provide users with standby of over a week and run time of two days on average use. Noir's W50 runs on Android Lollipop out of the QMobiled box but it can be upgraded via wireless update function using companyx92s PC suite.  The phone is released nationwide and is available in two color variants i.e. pure white and slender grey. To maximize utility of users, QMobiles Noir W50 comes with pre installed applications like social networking applications and day-to-day utility applications. you will be connected all the time as downgrade support of Edge and GPRS is provided in Q Mobiles Noir W50.",NULL,Black,1.2 GHZ Quad-Core,N/a,NULL,854 x 480 pixels (~218 PPI pixel density),4.5,0,6900,66,4.2,Android 5.0 (Lollipop),,,1750 mAh,"5 MP, autofocus, LED Flash"
202,QMobile,Qmobile_Noir-i2,"Qmobile Noir i2- Quad-core phone, 3G performance
QMobile unleashes powerful Noir i2 smartphone series which is built for those who believe in productivity instead of looks. Its a special gift for those who want a phone for social networking as QMobile Noir i2 is built with 5MP powerful rear mounted camera that can enhance all your photographs for instangram and the smart front camera of QMobile Noir i2's machine is capable of providing users with selfies that can be enhanced via built in-beauty face application. Powerful 3G connectivity along with Dual SIM support is provided in QMobile Noir I smartphone so that you can not only stay connected with friends and family but with the world as well, everywhere on the go. 4.5inch big display allows the users of QMobile's Noir i2 to take every picture and bring it to life with its HD performance graphics. The phone can also be turned into home cinema as it comes with powerful 3D stereo speakers and the display of QMobile i2 is especially Noired for Wider angle viewing. The most amazing feature of the phone is its Amigo UI which is built around the Android 5.1.1 Lollipop for faster performance on QMobile Noir smartphone. With powerful 1.3GHz processor, you can run any application without any problem and its powerful 1GB RAM allows Noir's i2 to run every QMobiled application available in the store today. Smooth multitasking and light weight engine increases performance of the great smartphone and connectivity suite of QMobiles Noir i2  is built especially to provide users with connectivity on every medium. 8GB internal storage is provided in the phone but it can be increased up-to 32GB via external card slot of Q Mobiles Noir i2 powerful smartphone.",NULL,Black,1.3 GHz Quad core,N/a,NULL,NULL,4.5,0,6990,67,4.1,Android OS V5.1 (Lollipop),,,Long Lasting Battery,"5 MP, LED Flash"
