Mobile_Companny,Mobile_Name,Whats_new,Chip,OS,Dimensions,Weight,Colors,Cpu,,Gpu,Size,Resolution,rating,back_camera,battery,imagepath1,imagepath2,price_in_pkr,price_in_usd
Samsung,Samsung_Galaxy-S9,"Samsung Galaxy S9 - The Camera. Reimagined! 
Pre-Order Now! (Shops list)
Samsung is shining star and Galaxy S9 will be the next premium device which is on its way. S8 is still in action and scoring huge amount of profit for the company but things have to move on and Samsung Galaxy S9 will be the next flagship device that we are see in the 2018. No matter what happened in the past they improvised a lot and gained the trust of their user. Samsung's Galaxy S9 is expected to be just like its predecessor and  and there will be not a bigger change in the design of the device. Still it is expected that Samsung Galaxy S9's specifications will be improved as compare to its previous model. First thing which is revealed by the source is its chipset which is now improved and this chip of Galaxy S9 by Samsung will be built on 7nm chip but according to the news the Korean giant is not manufacturing chipset by its own because they are going to make 8nm chip this year. Galaxy S9's Super AMOLED display is  is key feature of the this company and in this device they are going to continue this trend and same edges will be seen in the Samsung S9 just like S8. Octa-Core processor is fitted on top of the chipset that will bring you improved user experience as compare to the previous version. Newly born Samsung Galaxy's S9 is going to pack the Snapdragon 840 chipset which is going to be the most powerful and energy saving chip at this time. Android operating system v8.0 oreo is running Samsung Galaxy S9 inside the which is the most stable version of the Android with many improved tweaks.",Mali-G72 MP18,android v8.0 oreo,android v8.0 oreo,163,"midnight black, coral blue, titanium gray, lilac purple",octa-core (4 x 2.8 ghz mongoose m3 + 4 x 1.7 ghz cortex-a55),,NULL,5.8,1440 x 2960,0,"8 MP, f/1.7, autofocus, 1440p, dual video call, Auto HDR",NULL,webapp/img/frontDisplay/galaxy J2 pro 2018.jpg,,103000,988
Samsung,Samsung_Galaxy-Note-8,"Samsung Galaxy Note 8 - The Next Big Thing! 
Samsung has decided to continue Galaxy Note series and this time it's 8 which is rising from the ashes of its discontinued sibling. Sometimes things go wrong and we did not get the same results as we expected. The Korean giant is leaving behind all its bad memories and Samsung Galaxy Note 8 is going to launch soon. It will be a fresh start for company after discontinuation of its most cherished phone. All discontinuation rumors died after launch of Samsung's Galaxy Note 8  and we will see that one day it will be praised as the top ranking phone of the year 2017. No matter what happened in past the upcoming device is equipped with 6.3 inches display. Samsung Galaxy Note's display has packed super AMOLED technology to make things looks great and sharp from each and every angle. Per inch pixel density of Galaxy Note 8 by Samsung is 522 pixels which is the highest amount yet recorded in the history of smartphone. Its Resolution is also touching the heights where you will get the highest number which is 1440 x 2960 pixel resolution. Note 8 is protected with corning gorilla glass 5 while it is also dust proof and waterproof because it is IP68 certified to make sure that your device will stay in the water for up to 30 minutes. Galaxy Note 8 is really a wonder because this phone is the combo of all high-end technical specification to take the company to the new heights. Now you will get the Samsung Galaxy's Note 8 in two different variants where one is coming with 6 GB RAM and 64 GB ROM while the second variant has 128 GB built-in storage. Samsung Note 8 has dual 12 MP eye on its back which is equipped with high-end techs while on front 8 MP camera is installed for sharp and vibrant selfies.",Mali-G71 MP20,android v7.1.1 (nougat),android v7.1.1 (nougat),195,"midnight black, maple gold, orchid grey, deep sea blue",octa-core (4 x 2.3 ghz + 4 x 1.7 ghz),,Exynos 9810 Octa,6.3,1440 x 2960,4.9,"8 MP, f/1.7, autofocus, 1/3.6",NULL,webapp/img/frontDisplay/samsung_galaxy-note-8_Mix.jpg,,99999,911
Samsung,Samsung_Galaxy-S8-Plus,"Samsung Galaxy S8 Plus - Rivals Should Fear The Presence Of Giant! 
Samsung is messing things and S8 just appeared again with its Plus version to make sure that both siblings will appear at same time and leave no room for its rival to interfere in their peaceful launch. It seems that bad days are over and Samsung Galaxy S8 Plus will make it sure that Korean giant will once again hit the milestone that will clear the name of brand and it will help the products like the upcoming Samsung's Galaxy S8 Plus to place in top rankings for long time period. After little introduction it is time discuss about technical specifications. First of all it is time to meet with Samsung Galaxy S8's Super AMOLED display which is packed inside 6.2 inches LCD while on the top a capacitive touchscreen is embedded that let you enjoy firm touch while playing or doing work. Galaxy S8 Plus by Samsung is IP68 certified device which means that it is totally dust proof and it also stay in water for up to 30 minutes in case of emergency. Corning gorilla glass is installed on front and back of S8 Plus that also protect it form scratches and smudge. Touch Wiz UI is embedded on top of android OS v.70 Nougat to give original looks of brand to its users. Samsung S8 Plus has packed the Exynos 8895 Octa chipset which is the highest number available in market while an octa core processor is divided in to two separate groups to reap the maximum power. Samsung Galaxy's S8 Plus has also avail the services of Adreno 540 to maximize graphical output while playing heavy games. 12 MP camera is attached to back while 8 MP is provided to Galaxy S8 Plus for outstanding selfie result.",Mali-G71 MP20,android v7.1.1 (nougat),android v7.1.1 (nougat),173,"midnight black, orchid gray, arctic silver, coral blue, maple gold",octa-core (4 x 2.3 ghz + 4 x 1.7 ghz),,Exynos 8895 Octa,6.2,1440 x 2960,4.2,"8 MP, f/1.7, autofocus, 1440p@30fps, dual video call, Auto HDR",NULL,webapp/img/frontDisplay/samsung_galaxy_a8_plus.jpg,,91999,883
Samsung,Samsung_Galaxy-Note-Edge,"Samsung Galaxy Note Edge - World's 1st Smartphone having Curved Edge Display

Let's pay our regards to the Samsung's Most revolutionary mobile phone by far: The Galaxy Note Edge, drawing the attention of all the techies internationally who are in love with gadgets. Previously a Samsung concept youm changed Note Edge is utterly identical to it's sibling the note 4 however it packs a bent screen that's really a deal to grab and experience. possessing all the positive capabilities  of note 4 and having screen folded on a Edge, another exception that's not easy to figure out is somewhat smaller 5.6 inches display, certainly a price one has to offer for an inch of side screen. 2.0 mm compressed in height compared to Note 4 it is around 4.1 mm wider and have a smaller 3000mAh power bank as compared to the forerunner Note 3 pallet with the cutting edge technology of its era. Where two screens in one phone has double the edge on other smartphones it also creates an unconventional and uncomfortable vibes while carrying the phablet. Furnished with the groundbreaking technology it is packed with the ditto smooth leather back cohabited with the metallic design. The conception of Note Edge alone grants a totally exclusive tone to device that sounds lacking in the Note 4, Samsung exhibiting its production skills has outplayed others in the ground. Although being stuffed with a curved display it is a slim handset and an attractive addition to the Samsung's Galaxy family. The korean giant has not yet finalised any price tag for Edge but it is going to be obtainable well early in Pakistan. A point needs to be noted that the Edge screen will not create any difference until samsung double checks to contribute extra applications that can use the curved display by samsung in an efficient manner. The 2ndary display   can also be used as quick launch bar on this galaxy phone like a start bar on a computer or to start note apps instantly or to see the date / time without opening the cover is definitely an edge.",Adreno 420,android v4.4.4 (kitkat),android v4.4.4 (kitkat),174,"black, white",2.7 ghz quad core krait 450,,Exynos 8895 Octa,5.6,1600 x 2560,4.1,"3.7 MP,  f/1.9, 1440p@30fps",NULL,webapp/img/frontDisplay/samsung_galaxy-note-edge.jpg,,89000,854
Samsung,Samsung_Galaxy-S8,"Samsung Galaxy S8 - More to See, Less to Hold! 
Samsung stupefies everybody by announcing Galaxy S8 so soon as it's a very strong addition to galaxy family. Redefined with 5.8 inches Super AMOLED capacitive display it comes under the protection of corning gorilla glass 5. Samsung's Galaxy S8 is running on Android operating system v7.0 that runs the phone without a hitch. In single sim model, there is a dedicated slot for SD card while Samsung Galaxy S8 also assembled with dual sim slots. In the case of dual-sim, you can use second sim slot as the SD card slot. 64 GB or 128 GB built-in memory is provided to Samsung S8 but you can also expand the memory up to 256 GB with help SD card. This phone has many sensors which came handy in your daily routine. Newly born Galaxy S8 by Samsung brings fingerprint, proximity light sensor, accelerometer, gyro, and compass etc. HTML5 Browser is used as the built-in browser for this phone while Samsung Galaxy S8's Wi-Fi 802.11 is quite powerful that makes it easy to catch signals from a distance and will help you a lot while searching for Wi-Fi Networks at home or at work place. RAM of Samsung Galaxy's S8 is 4 GB that makes it go with blazing fast speed while multitasking or playing heavy games. Surf and enjoy every moment of excitement with powerful RAM. Samsung Galaxy S8 is very slim and smart phone and it available in Midnight Black, Orchid Gray, Arctic Silver, Coral Blue and Maple Gold colors. Equipped with so much stuff that you cannot get bored while playing with it. Galaxy S8's back is equipped with a powerfully long lasting non removable 3000 mAh battery that will go on and on. 12 MP camera is taking care of photography while 8 MP front camera is taking care of selfies.",Mali-G71 MP20,android v7.1.1 (nougat),android v7.1.1 (nougat),155,"midnight black, orchid gray, arctic silver, coral blue, maple gold",octa-core (4 x 2.3 ghz + 4 x 1.7 ghz),,Qualcomm Snapdragon 805,5.8,1440 x 2960,4.1,"8 MP f/1.7, autofocus, 1440p@30fps, dual video call, Auto HDR",NULL,webapp/img/frontDisplay/samsung_galaxy_s8.jpeg,,81999,747
Samsung,Samsung_Galaxy-A8-Plus-2018,"Samsung Galaxy A8 Plus 2018 - New Face Of Samsung's Mid-Ranger! 
Samsung redefined its looks with Galaxy A8 but new variant appeared as Plus 2018 that seems to be a little different from its original elder brother that was leaked few days ago. Both of these devices are new face of the A5 2017 and A7 2017. Samsung Galaxy A8's specifications are also changed with change in the name. WMC is the place where these devices are speculated to unveil their faces and Samsung Galaxy A8 Plus 2018 seems to be the star of the mid-range compartment along with their flagship devices. With the passage of time evolution is must and as far as the Samsung's Galaxy A8 Plus 2018 is concerned it seem that company is aware of this fact that's why they have changed face and design of their upcoming devices where Galaxy A8 Plus 2018 by Samsung brought latest gadgets to compete with its rivals. On top of hand Super AMOLED display packed inside 6.0 inch of LCD equipped with Infinity theme making Samsung A8 Plus 2018 sharp and delicious for lots of users while Always On Display has made this device top notch with easy access to view your notifications and time. Samsung Galaxy's A8 Plus 2018 brought 3500 mAh battery as compare to the basic model which is carrying a 3000 mAh battery. 4 GB RAM is also a trendy feature that's why Galaxy A8 Plus 2018 is coming with same amount of RAM to make all the multi-tasking smooth. 64 GB internal storage got the backup support of 256 GB SD card which has made A8 Plus 2018 reliable while expanding your internal storage up to 256 GB without any kind of hurdle.",NULL,android v7.1.1 (nougat),android v7.1.1 (nougat),191,black,2.2 ghz octa core cortex-a53,,Exynos 8895 Octa,6,1080 x 2220,0,"Dual: 16 MP + 8 MP, f/1.9, 1080p",NULL,webapp/img/frontDisplay/samsung_galaxy_a8_plus.jpg,,69999,672
Samsung,Samsung_Galaxy-S7-Edge-128GB,"Samsung Galaxy S7 Edge 128GB - Spacious But Still Expandable! 
Samsung introduced new variant of Galaxy S7 that belongs to the famous Edge 128GB family. They have introduced this variant in Pakistan with 128 GB built-in memory but you can still expand memory up to 256 GB with SD card. Samsung Galaxy S7's improvement in memory has also raised the price of device up to 95000 but this price is nothing what you are getting in exchange. After the main attraction now it time to explore Samsung Galaxy S7 Edge 128GB further that what else we will get in this flagship device. First of all lets start with display of device. 5.5 inch screen is equipped with super AMOLED display. Samsung's Galaxy S7 Edge 128GB has got high-end pixel resolution of 1440 x 2560 pixels with 534 which is pretty impressive amount pixel density per inch and it also provide sharp result from all angle of Galaxy S7 Edge 128GB by Samsung screen. Curved edge screen has improved the looks of phone along with that you can easily access to many features on the go. Coring gorilla glass 4 is protecting the touch screen of Samsung S7 Edge 128GB which adds more durability to the screen and also save display from scratches. Touch Wiz UI is embedded on top of Android OS v6.0 marshmallow that give pleasant looks to home screen of Samsung Galaxy's S7 Edge 128GB and also help to improve the speed of system by providing direct access to many apps. Two different units of processor are processing and both join together make octa  core processor for Galaxy S7 Edge 128GB where one unit runs at frequency of 2.34 GHz while second one process at 1.6 GHz while Adreno 530 GPU is monitoring the graphical department of  S7 Edge 128GB very closely.",GPU:Mali-T880MP12,android v6.0 (marshmallow) ,android v6.0 (marshmallow) ,157,"black, white, gold, silver",quad-core (2 x 2.15 ghz kryo + 2 x 1.6 ghz kryo),,NULL,0,NULL,4.7,NULL,3600 mAh,webapp/img/frontDisplay/sam_g_s7edge.jpg,,67999,652
Samsung,Samsung_Galaxy-S7-Edge,"Samsung Galaxy S7 Edge - Performance on the Edge!
Samsung introduces amazingly awesome smart Galaxy S7 upgraded version also known as Edge. Name is chosen because of its curved display on side that appears almost as another screen and displays different functions. Force Touch with Gorilla Glass 5 is enabled in the 5.5 inch QHD screen of Samsung Galaxy S7 Edge to provide brightest, sharpest and most durable display ever possible. Force Touch technology allows the phone to sense pressure of the touch and Adreno 530 allows users of Samsung's Galaxy S7 Edge to experience the sharpest display ever. Rear camera has been bumped with Phase detection, auto HDR, OIS and face detection whereas the front camera holds HDR feature only. Samsung Galaxy S7's Dual LED flash lights come with dual Tone to enhance the low light photography sessions and can be used as a torch through integrated app. Android Marshmallow runs out of the box in Galaxy S7 Edge by Samsung and runs smoothly due to its Exynos Chipset that embeds 4GB RAM with 64 bit architecture. The handheld device lacks a memory card slot but comes with memory variants of 32GB and 64GB so that the users of Samsung S7 Edge can choose whats suits them best accordingly. Fast charging allows the phone to be fully charged within 50 minutes and its wireless charging feature of Samsung Galaxy's S7 Edge has been improved to provide reliable wireless experience. Fully featured LTE support resides along with latest Wi-Fi module and Bluetooth whereas FM radio cannot be found inside Galaxy S7 Edge mobile phone. Fingerprint sensor with pay feature and ANT+ support with heart rate has been included to keep the users informed about their health. The new S7 Edge ships in four different colors.",GPU:Mali-T880MP12,android v6.0 (marshmallow) ,android v6.0 (marshmallow) ,157,"black, white, gold, silver, pink gold, black pearl, coral blue",quad-core (2 x 2.15 ghz kryo + 2 x 1.6 ghz kryo),,Exynos8890Octa,0,NULL,4.2,NULL,"Talk-time up to 27 hrs, Music-Play up to 74 hrs
3600 mAh, (Non-removable)",webapp/img/frontDisplay/sam_g_s7edge.jpg,,64999,624
Samsung,Samsung_Galaxy-A8-2018,"Samsung Galaxy A8 2018 - Infinity & Beyond! 
Samsung has mastered art with Galaxy A8 and soon you will see 2018 version of their specialized work in which they brought you infinity display screen with edge to edge screen that was present Samsung Galaxy Note 8 and many others but A8 2018 is from mid-range series but now this phone is also coming with the same type of the display that was used in flagship devices of this company so Samsung Galaxy A8 2018 is promoted to upper class where it is going to sit with the stars and now you will see the A series in a total new way that was not seen before. As far the specifications of Samsung A8 2018 are concerned they got some treatment too. Display size of the screen will be 5.6 inches but resolution is upgraded up to 1080 x 2220 pixels. Samsung Galaxy A8's pixel density got better too which is now 441pixels per inch where in previous smartphones it never passed 401. Samsung home grown super AMOLED display is used in Galaxy A8 2018 which is protected with Corning Gorilla glass too to protect it from damage or scratches. A new feature Always on display is also added in the display of Samsung's Galaxy A8 2018 so you can view your notifications date and time without unlocking the display. Storage of the device is also upgraded up to 64 GB and RAM of Galaxy A8 2018 by Samsung is 4GB which is going to make sure that games and multi-tasking run smoothly without causing any kind of trouble for the user. Type C USB is attached to Samsung Galaxy's A8 2018 so you can get the faster data transfer when you have to transfer it in hurry.",Mali-G71,android v7.1.1 (nougat),android v7.1.1 (nougat),172,"black, orchid grey, gold, blue",octa-core (2 x 2.2 ghz cortex-a73 + 6 x 1.6 ghz cortex-a53),,Quad-core (2 x 2.15 GHz Kryo + 2 x 1.6 GHz Kryo),5.6,1080 x 2220,0,"Dual: 16 MP + 8 MP, f/1.9, 1080p",NULL,webapp/img/frontDisplay/samsung_galaxy_a8_plus.jpg,,62999,604
Samsung,Samsung_Galaxy-S7,"Samsung updates its flagship with Galaxy S7, a powerful handheld rocking 820 snapdragon processor and 5.7inch screen with improved 4GB RAM. Product was codenamed lucky because of number 7. Samsung Galaxy S7 costs a lots of bucks in Pakistan. It comes with improved UI with Android Marshmallow OS and supports companyx92s premium VR gear for ultimate virtual reality experience within reach of your pocket. Samsungx92s Galaxy S7 will be packing a fingerprint sensor as its predecessor and will feature a full QHD screen. The phone will be packing a Hexa-core 1.38GHz processor which is developed by Samsung Galaxy S7x92s own architectures to provide it with maximum support and enhanced UI tweaks. Front camera is of 20.0 megapixels with auto HDR OIS and face detection is also capable of providing 2160P recording and Galaxy S7 by Samsung features a wide angle 5MP front camera with dual video call feature and video recording upto 1440P. Packed with latest Android OS, all new Samsung S7 is listed among most advanced high end Smartphonex92s of the year and packs boosted LTE support coupled with advanced Bluetooth module, embedded NFC and advanced GPS support, Samsung Galaxyx92s S7 is set to provide with every inch of connectivity a handheld can offer. Like all other models the phone will be shipped in 32/64/128GB variant with slightly different price tags. Samsung Galaxy S7 will be available in Pakistan in different colors like its older models and features non-removable battery and its 5.1inches screen is bigger than its older models and Galaxy S7x92s chipset embeds top of line hardware available in market and although its packed with so many hardware and software tweaks, it feels light and is thinner than its predecessors.",GOPU:Adreno530,android v6.0 (marshmallow),android v6.0 (marshmallow),0,"black, white, gold, silver",exynos 8890 octa,,Exynos8890Octa,0,NULL,4.1,NULL,3000 mAh,webapp/img/frontDisplay/galaxy-s7.jpg,,62000,595
